iso_code,continent,location,date,population,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
MYS,Asia,Malaysia,2022-11-19,33938216,4965666,2450,2726.143,36593,5,6.714,146314.88,72.19,80.327,1078.224,0.147,0.198,,91,2.681,1598,47.086,,,3523,103.806
MYS,Asia,Malaysia,2022-11-18,33938216,4963216,3037,2787.857,36588,5,7.286,146242.69,89.486,82.145,1078.077,0.147,0.215,,106,3.123,1598,47.086,,,3503,103.217
MYS,Asia,Malaysia,2022-11-17,33938216,4960179,3457,2817.571,36583,9,8.714,146153.204,101.862,83.021,1077.929,0.265,0.257,,89,2.622,1705,50.238,,,3466,102.127
MYS,Asia,Malaysia,2022-11-16,33938216,4956722,3304,2814.571,36574,8,8.571,146051.342,97.353,82.932,1077.664,0.236,0.253,,90,2.652,1686,49.679,,,3438,101.302
MYS,Asia,Malaysia,2022-11-15,33938216,4953418,2852,2809.286,36566,12,8.857,145953.989,84.035,82.776,1077.428,0.354,0.261,,97,2.858,1586,46.732,,,3332,98.178
MYS,Asia,Malaysia,2022-11-14,33938216,4950566,1749,2942,36554,6,8.429,145869.954,51.535,86.687,1077.075,0.177,0.248,,89,2.622,1584,46.673,,,3272,96.41
MYS,Asia,Malaysia,2022-11-13,33938216,4948817,2234,3052.286,36548,2,8.714,145818.419,65.825,89.937,1076.898,0.059,0.257,,91,2.681,1563,46.054,,,3261,96.086
MYS,Asia,Malaysia,2022-11-12,33938216,4946583,2882,3292.143,36546,9,9.143,145752.593,84.919,97.004,1076.839,0.265,0.269,,84,2.475,1522,44.846,,,3183,93.788
MYS,Asia,Malaysia,2022-11-11,33938216,4943701,3245,3540.571,36537,15,8,145667.674,95.615,104.324,1076.574,0.442,0.236,,87,2.563,1526,44.964,,,3170,93.405
MYS,Asia,Malaysia,2022-11-10,33938216,4940456,3436,3699.857,36522,8,6,145572.06,101.243,109.017,1076.132,0.236,0.177,,92,2.711,1496,44.08,,,3074,90.576
MYS,Asia,Malaysia,2022-11-09,33938216,4937020,3267,3882,36514,10,4.857,145470.817,96.263,114.384,1075.896,0.295,0.143,,91,2.681,1396,41.134,,,3013,88.779
MYS,Asia,Malaysia,2022-11-08,33938216,4933753,3781,3982.286,36504,9,3.714,145374.554,111.408,117.339,1075.602,0.265,0.109,,75,2.21,1410,41.546,,,2932,86.392
MYS,Asia,Malaysia,2022-11-07,33938216,4929972,2521,3858.286,36495,8,2.857,145263.145,74.282,113.686,1075.336,0.236,0.084,,73,2.151,1427,42.047,,,2854,84.094
MYS,Asia,Malaysia,2022-11-06,33938216,4927451,3913,3914.286,36487,5,3,145188.863,115.298,115.336,1075.101,0.147,0.088,,67,1.974,1356,39.955,,,2756,81.206
MYS,Asia,Malaysia,2022-11-05,33938216,4923538,4621,3802.286,36482,1,2.571,145073.565,136.159,112.036,1074.953,0.029,0.076,,70,2.063,1332,39.248,,,2718,80.087
MYS,Asia,Malaysia,2022-11-04,33938216,4918917,4360,3597.714,36481,1,2.571,144937.406,128.469,106.008,1074.924,0.029,0.076,,73,2.151,1309,38.57,,,2637,77.7
MYS,Asia,Malaysia,2022-11-03,33938216,4914557,4711,3445.714,36480,0,2.571,144808.938,138.811,101.529,1074.894,0,0.076,,67,1.974,1308,38.541,,,2561,75.461
MYS,Asia,Malaysia,2022-11-02,33938216,4909846,3969,3167.286,36480,2,3.143,144670.126,116.948,93.325,1074.894,0.059,0.093,,63,1.856,1215,35.8,,,2430,71.601
MYS,Asia,Malaysia,2022-11-01,33938216,4905877,2913,2905.429,36478,3,3.714,144553.179,85.832,85.609,1074.836,0.088,0.109,,60,1.768,1150,33.885,,,2277,67.093
MYS,Asia,Malaysia,2022-10-31,33938216,4902964,2913,2738.286,36475,9,4,144467.346,85.832,80.684,1074.747,0.265,0.118,,56,1.65,1164,34.298,,,2194,64.647
MYS,Asia,Malaysia,2022-10-30,33938216,4900051,3129,2570.286,36466,2,3.143,144381.514,92.197,75.734,1074.482,0.059,0.093,,66,1.945,1206,35.535,,,2084,61.406
MYS,Asia,Malaysia,2022-10-29,33938216,4896922,3189,2416.714,36464,1,2.857,144289.317,93.965,71.209,1074.423,0.029,0.084,,60,1.768,1067,31.439,,,1959,57.723
MYS,Asia,Malaysia,2022-10-28,33938216,4893733,3296,2335.143,36463,1,3.286,144195.352,97.118,68.806,1074.394,0.029,0.097,,58,1.709,1026,30.231,,,1844,54.334
MYS,Asia,Malaysia,2022-10-27,33938216,4890437,2762,2186.571,36462,4,3.571,144098.234,81.383,64.428,1074.364,0.118,0.105,,47,1.385,927,27.314,,,1740,51.27
MYS,Asia,Malaysia,2022-10-26,33938216,4887675,2136,2157.857,36458,6,4.143,144016.851,62.938,63.582,1074.246,0.177,0.122,1.09,48,1.414,893,26.313,,,1681,49.531
MYS,Asia,Malaysia,2022-10-25,33938216,4885539,1743,2180.571,36452,5,3.714,143953.913,51.358,64.251,1074.069,0.147,0.109,1.1,44,1.296,902,26.578,,,1679,49.472
MYS,Asia,Malaysia,2022-10-24,33938216,4883796,1737,2199.143,36447,3,3.429,143902.555,51.181,64.798,1073.922,0.088,0.101,1.1,52,1.532,814,23.985,,,1628,47.97
MYS,Asia,Malaysia,2022-10-23,33938216,4882059,2054,2123.857,36444,0,3.857,143851.374,60.522,62.58,1073.834,0,0.114,1.11,43,1.267,838,24.692,,,1604,47.262
MYS,Asia,Malaysia,2022-10-22,33938216,4880005,2618,2075,36444,4,4.143,143790.852,77.14,61.141,1073.834,0.118,0.122,1.12,47,1.385,826,24.338,,,1611,47.469
MYS,Asia,Malaysia,2022-10-21,33938216,4877387,2256,1990,36440,3,3.571,143713.712,66.474,58.636,1073.716,0.088,0.105,1.12,47,1.385,821,24.191,,,1590,46.85
MYS,Asia,Malaysia,2022-10-20,33938216,4875131,2561,1986.429,36437,8,3.857,143647.238,75.461,58.531,1073.627,0.236,0.114,1.12,51,1.503,847,24.957,,,1584,46.673
MYS,Asia,Malaysia,2022-10-19,33938216,4872570,2295,1919.143,36429,3,3.143,143571.778,67.623,56.548,1073.392,0.088,0.093,1.12,44,1.296,800,23.572,,,1548,45.612
MYS,Asia,Malaysia,2022-10-18,33938216,4870275,1873,1823.857,36426,3,2.857,143504.155,55.189,53.741,1073.303,0.088,0.084,1.12,43,1.267,748,22.04,,,1517,44.699
MYS,Asia,Malaysia,2022-10-17,33938216,4868402,1210,1740.714,36423,6,2.857,143448.966,35.653,51.291,1073.215,0.177,0.084,1.11,43,1.267,760,22.394,,,1470,43.314
MYS,Asia,Malaysia,2022-10-16,33938216,4867192,1712,1745.143,36417,2,2.429,143413.313,50.445,51.421,1073.038,0.059,0.072,1.1,36,1.061,755,22.246,,,1446,42.607
MYS,Asia,Malaysia,2022-10-15,33938216,4865480,2023,1708.143,36415,0,2.429,143362.869,59.608,50.331,1072.979,0,0.072,1.09,34,1.002,734,21.628,,,1383,40.751
MYS,Asia,Malaysia,2022-10-14,33938216,4863457,2231,1651.571,36415,5,3,143303.26,65.737,48.664,1072.979,0.147,0.088,1.09,34,1.002,742,21.863,,,1372,40.426
MYS,Asia,Malaysia,2022-10-13,33938216,4861226,2090,1588.286,36410,3,2.714,143237.523,61.582,46.799,1072.832,0.088,0.08,1.07,33,0.972,688,20.272,,,1330,39.189
MYS,Asia,Malaysia,2022-10-12,33938216,4859136,1628,1546,36407,1,2.857,143175.941,47.97,45.553,1072.743,0.029,0.084,1.06,41,1.208,687,20.243,,,1320,38.894
MYS,Asia,Malaysia,2022-10-11,33938216,4857508,1291,1559.429,36406,3,3,143127.971,38.04,45.949,1072.714,0.088,0.088,1.05,46,1.355,694,20.449,,,1306,38.482
MYS,Asia,Malaysia,2022-10-10,33938216,4856217,1241,1503.714,36403,3,3.857,143089.931,36.566,44.307,1072.626,0.088,0.114,1.04,38,1.12,650,19.152,,,1324,39.012
MYS,Asia,Malaysia,2022-10-09,33938216,4854976,1453,1332.429,36400,2,3.571,143053.365,42.813,39.26,1072.537,0.059,0.105,1.03,37,1.09,669,19.712,,,1323,38.983
MYS,Asia,Malaysia,2022-10-08,33938216,4853523,1627,1124.857,36398,4,3.429,143010.552,47.94,33.144,1072.478,0.118,0.101,1.02,43,1.267,681,20.066,,,1325,39.042
MYS,Asia,Malaysia,2022-10-07,33938216,4851896,1788,1589.286,36394,3,2.857,142962.612,52.684,46.829,1072.36,0.088,0.084,1.02,38,1.12,689,20.302,,,1320,38.894
MYS,Asia,Malaysia,2022-10-06,33938216,4850108,1794,1620.571,36391,4,3.143,142909.928,52.861,47.751,1072.272,0.118,0.093,1.02,36,1.061,699,20.596,,,1316,38.776
MYS,Asia,Malaysia,2022-10-05,33938216,4848314,1722,1631,36387,2,3.143,142857.067,50.739,48.058,1072.154,0.059,0.093,1.03,48,1.414,705,20.773,,,1314,38.717
MYS,Asia,Malaysia,2022-10-04,33938216,4846592,901,1734.286,36385,9,3.143,142806.328,26.548,51.101,1072.095,0.265,0.093,1.04,42,1.238,706,20.803,,,1326,39.071
MYS,Asia,Malaysia,2022-10-03,33938216,4845691,42,1827.286,36376,1,2.714,142779.78,1.238,53.842,1071.83,0.029,0.08,1.07,46,1.355,713,21.009,,,1348,39.719
MYS,Asia,Malaysia,2022-10-02,33938216,4845649,,,36375,1,3.571,142778.542,,,1071.801,0.029,0.105,1.1,45,1.326,714,21.038,,,1371,40.397
MYS,Asia,Malaysia,2022-10-01,33938216,4845757,4878,2220.429,36374,0,3.714,142781.724,143.732,65.426,1071.771,0,0.109,1.12,42,1.238,711,20.95,,,1412,41.605
MYS,Asia,Malaysia,2022-09-30,33938216,4840879,2007,1798.429,36374,5,4.143,142637.993,59.137,52.991,1071.771,0.147,0.122,1.1,42,1.238,740,21.804,,,1448,42.666
MYS,Asia,Malaysia,2022-09-29,33938216,4838872,1867,1807.429,36369,4,3.857,142578.856,55.012,53.256,1071.624,0.118,0.114,1.07,43,1.267,767,22.6,,,1486,43.785
MYS,Asia,Malaysia,2022-09-28,33938216,4837005,2445,1861.429,36365,2,5,142523.844,72.043,54.848,1071.506,0.059,0.147,1.06,41,1.208,796,23.454,,,1522,44.846
MYS,Asia,Malaysia,2022-09-27,33938216,4834560,1552,1813.714,36363,6,5.571,142451.801,45.73,53.442,1071.447,0.177,0.164,1.03,46,1.355,814,23.985,,,1549,45.642
MYS,Asia,Malaysia,2022-09-26,33938216,4833008,1186,1830.143,36357,7,5.714,142406.071,34.946,53.926,1071.27,0.206,0.168,1.01,52,1.532,804,23.69,,,1577,46.467
MYS,Asia,Malaysia,2022-09-25,33938216,4831822,1608,1847.429,36350,2,5.429,142371.125,47.38,54.435,1071.064,0.059,0.16,1,51,1.503,853,25.134,,,1580,46.555
MYS,Asia,Malaysia,2022-09-24,33938216,4830214,1924,1851.857,36348,3,5.714,142323.745,56.691,54.566,1071.005,0.088,0.168,0.98,51,1.503,803,23.661,,,1573,46.349
MYS,Asia,Malaysia,2022-09-23,33938216,4828290,2070,1801.571,36345,3,5.714,142267.054,60.993,53.084,1070.917,0.088,0.168,0.98,54,1.591,825,24.309,,,1559,45.936
MYS,Asia,Malaysia,2022-09-22,33938216,4826220,2245,1788.286,36342,12,6.143,142206.061,66.15,52.692,1070.828,0.354,0.181,0.97,55,1.621,849,25.016,,,1586,46.732
MYS,Asia,Malaysia,2022-09-21,33938216,4823975,2111,1806.857,36330,6,4.857,142139.911,62.201,53.24,1070.475,0.177,0.143,0.96,57,1.68,839,24.721,,,1617,47.645
MYS,Asia,Malaysia,2022-09-20,33938216,4821864,1667,1852.571,36324,7,4.714,142077.71,49.119,54.587,1070.298,0.206,0.139,0.95,59,1.738,826,24.338,,,1634,48.146
MYS,Asia,Malaysia,2022-09-19,33938216,4820197,1307,1891.857,36317,5,4.571,142028.591,38.511,55.744,1070.092,0.147,0.135,0.94,55,1.621,903,26.607,,,1659,48.883
MYS,Asia,Malaysia,2022-09-18,33938216,4818890,1639,1969,36312,4,4.571,141990.08,48.294,58.017,1069.944,0.118,0.135,0.93,60,1.768,849,25.016,,,1709,50.356
MYS,Asia,Malaysia,2022-09-17,33938216,4817251,1572,1946.714,36308,3,4.429,141941.786,46.319,57.361,1069.826,0.088,0.13,0.92,60,1.768,891,26.254,,,1743,51.358
MYS,Asia,Malaysia,2022-09-16,33938216,4815679,1977,2003.714,36305,6,4.429,141895.467,58.253,59.04,1069.738,0.177,0.13,0.92,60,1.768,913,26.902,,,1803,53.126
MYS,Asia,Malaysia,2022-09-15,33938216,4813702,2375,2005.571,36299,3,4.143,141837.214,69.98,59.095,1069.561,0.088,0.122,0.93,53,1.562,949,27.963,,,1824,53.745
MYS,Asia,Malaysia,2022-09-14,33938216,4811327,2431,1984.286,36296,5,4.857,141767.234,71.63,58.468,1069.473,0.147,0.143,0.93,62,1.827,931,27.432,,,1819,53.597
