iso_code,continent,location,date,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
MYS,Asia,Malaysia,2022-11-19,,,,,,,,,,72245670,28113267,27523599,16829563,5385,4232,212.99,82.84,81.2,49.59,115,176,0,24.07,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,,,,
MYS,Asia,Malaysia,2022-11-18,,,,,,,,,,72243182,28113037,27523587,16824651,3157,3717,212.87,82.84,81.1,49.57,110,161,0,24.07,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,,,,
MYS,Asia,Malaysia,2022-11-17,,,,,,,,,,72240025,28112828,27523382,16821908,5269,4032,212.86,82.84,81.1,49.57,119,187,0.001,24.07,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,,,,
MYS,Asia,Malaysia,2022-11-16,,,,,,,,,,72234756,28112670,27523205,16816974,4535,3866,212.84,82.83,81.1,49.55,114,185,0.001,24.07,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,,,,
MYS,Asia,Malaysia,2022-11-15,,,,,,,,,,72230221,28112535,27523158,16812621,3653,3738,212.83,82.83,81.1,49.54,110,182,0.001,24.07,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,,,,
MYS,Asia,Malaysia,2022-11-14,,,,,,,,,,72226568,28112405,27523105,16809151,3688,3622,212.82,82.83,81.1,49.53,107,173,0.001,24.07,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,,,,
MYS,Asia,Malaysia,2022-11-13,,,,,,,,,,72222880,28112329,27523064,16805580,1946,3472,212.81,82.83,81.1,49.52,102,170,0.001,24.07,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,,,,
MYS,Asia,Malaysia,2022-11-12,,,,,,,,,,72220934,28112200,27522939,16803888,3770,3357,212.8,82.83,81.1,49.51,99,167,0,24.07,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,,,,
MYS,Asia,Malaysia,2022-11-11,,,,,,,,,,72217164,28111909,27522663,16800685,5360,3141,212.79,82.83,81.1,49.5,93,159,0,24.07,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,,,,
MYS,Asia,Malaysia,2022-11-10,,,,,,,,,,72211804,28111516,27522374,16796007,4108,2821,212.77,82.83,81.1,49.49,83,139,0,24.07,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,,,,
